Provider Number,Location Number,Application Type,County,Facility Name,Facility Number,Line Address 1,Line Address 2,City,Zip Code,Contact Name,Contact Phone,LICENSED Date,Capacity,From Age,To Age,Hours,Months,Full Time,Star Level 
0000555670,004,LICENSED GROUP,13. DANE,KIDS CLUB                                         ,1009252,101 S Grant St,                              ,Belleville     ,53508,"NYMAN, LISA",608-289-3378,09/21/2005,45,"4 Year(s), 0 Month(s), 0 Week(s)","10 Year(s), 11 Month(s), 0 Week(s)",07:00 AM-05:30 PM,Jan-Dec,Y,3 Stars
0000555700,001,LICENSED FAMILY,53. ROCK,PEGGY'S PUMPKIN PATCH DAYCARE                     ,130052,7664 Terwilliger Rd,                              ,Clinton        ,53525,"CLOTHIER, MARGARET",608-290-8730,03/12/1997,8,"0 Year(s), 0 Month(s), 2 Week(s)","13 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-07:00 PM,Jan-Dec,Y,3 Stars
0000555710,001,LICENSED GROUP,53. ROCK,KINDERCARE LEARNING CENTERS INC                   ,120073,3327 E Milwaukee St,                              ,Janesville     ,53546,"SMITH, JULIE",608-755-9970,01/05/1997,94,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,002,LICENSED GROUP,18. EAU CLAIRE,KINDERCARE                                        ,520044,2115 Fairfax St,                              ,Eau Claire     ,54701,"MARTIN, NATALIE",715-832-8099,04/23/1997,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,003,LICENSED GROUP,37. MARATHON,KINDERCARE LEARNING CENTER                        ,620098,5201 Alderson St,                              ,Schofield      ,54476-2312,"MAUER, KAYLA",715-359-4118,01/14/1985,115,"0 Year(s), 0 Month(s), 5 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,004,LICENSED GROUP,51. RACINE,KINDERCARE LEARNING CTRS-3 MILE RD                ,225146,700 3 Mile Rd,                              ,Racine         ,53402-3090,"WILLIAMS, CAITLIN",262-639-8889,06/02/1997,124,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,007,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-CALHOUN                  ,220259,4080 N Calhoun Rd,                              ,Brookfield     ,53005,"NELSON, BLAIR",262-783-4199,06/06/1997,120,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,009,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-BLUEMOUND                ,220260,18205 W Bluemound Rd,                              ,Brookfield     ,53045,"MCILRATH, KORRIN",262-792-1112,06/06/1997,87,"0 Year(s), 0 Month(s), 6 Week(s)","5 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,011,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-SUNSET DR                ,220263,125 E Sunset Dr,                              ,Waukesha       ,53189,"BARTLETT, KARI",262-542-6994,05/18/1997,118,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,013,LICENSED GROUP,05. BROWN,KINDERCARE LEARNING CTRS 1035                     ,420008,1101 S Taylor St,                              ,Green Bay      ,54304-2041,"SCHIRTZINGER, MICHELLE",920-496-0009,08/01/1985,128,"0 Year(s), 0 Month(s), 6 Week(s)","11 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,015,LICENSED GROUP,13. DANE,KINDERCARE LEARNING CENTER                        ,120093,6726 Raymond Rd,                              ,Madison        ,53719,"HAYES, APRIL",608-271-0775,06/01/1997,97,"0 Year(s), 0 Month(s), 6 Week(s)","11 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,016,LICENSED GROUP,13. DANE,KINDERCARE LEARNING CTR-OLD SAUK                  ,120162,7126 Old Sauk Rd,                              ,Madison        ,53717,"MOURS, SCOTT",608-831-1223,06/23/1997,135,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,018,LICENSED GROUP,44. OUTAGAMIE,KINDERCARE LEARNING CTRS 1304                     ,420184,3036 N Ballard Rd,                              ,Appleton       ,54911-8707,"STROBEL, MACKENZIE",920-749-9878,01/02/1989,111,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,019,LICENSED GROUP,70. WINNEBAGO,KINDERCARE LEARNING CTRS 937                      ,420068,2407 S Oneida St,                              ,Appleton       ,54915,"RYF, KIM",920-738-6920,06/15/1997,134,"0 Year(s), 0 Month(s), 6 Week(s)","11 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,020,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-CLEVELAND                ,220267,11423 W Cleveland Ave,                              ,West Allis     ,53227-3040,"RUGER, KIMBERLY",414-541-6332,07/13/1997,128,"0 Year(s), 0 Month(s), 6 Week(s)","13 Year(s), 0 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,021,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-FOREST HM                ,220269,8650 W Forest Home Ave,                              ,Greenfield     ,53228-3420,"MOLTER, LORI",414-425-1943,07/17/1997,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,022,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-PARK PL                  ,220270,10715 W Park Pl,                              ,Milwaukee      ,53224-3620,"PORTER, KRISTIN",414-359-1234,07/13/1997,133,"0 Year(s), 0 Month(s), 6 Week(s)","13 Year(s), 0 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
0000555710,023,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-COLLEGE                  ,220268,1801 College Ave,                              ,S Milwaukee    ,53172-1005,"KLUG, KAYLA",414-762-0045,07/17/1997,104,"0 Year(s), 0 Month(s), 6 Week(s)","13 Year(s), 0 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars
